Date,Day of Week,Time,Item,Price,Tip
2024-04-10,Wednesday,17:26,Lobster Thermidor,55,6.96
2024-07-16,Tuesday,18:46,Foie Gras,50,9.53
2024-12-14,Saturday,21:28,Duck Confit,40,8.41
2024-02-11,Sunday,18:56,Truffle Risotto,35,4.52
2024-03-21,Thursday,21:22,Lobster Thermidor,55,13.71
2024-04-27,Saturday,17:30,Chocolate Souffle,20,3.66
2024-09-24,Tuesday,17:17,Creme Brulee,15,1.86
2024-12-10,Tuesday,18:56,Lobster Thermidor,55,7.32
2024-11-11,Monday,21:58,Chocolate Souffle,20,5.45
2024-10-17,Thursday,17:54,Creme Brulee,15,3.43
2024-05-22,Wednesday,21:39,Filet Mignon,45,5.72
2024-08-28,Wednesday,19:22,Salmon en Papillote,30,3.33
2024-10-03,Thursday,18:36,Lobster Thermidor,55,7.42
2024-08-28,Wednesday,18:55,Foie Gras,50,14.46
2024-07-07,Sunday,18:52,Foie Gras,50,9.59
2024-07-27,Saturday,18:48,Truffle Risotto,35,5.0
2024-05-27,Monday,21:27,Chocolate Souffle,20,3.14
2024-12-02,Monday,21:42,Duck Confit,40,6.58
2024-11-15,Friday,20:02,Duck Confit,40,11.48
2024-06-02,Sunday,17:27,Chocolate Souffle,20,5.92
2024-10-08,Tuesday,18:15,Chocolate Souffle,20,4.04
2024-09-28,Saturday,18:15,Chocolate Souffle,20,2.53
2024-04-17,Wednesday,17:52,Duck Confit,40,10.24
2024-03-19,Tuesday,21:32,Foie Gras,50,12.88
2024-12-15,Sunday,19:29,Truffle Risotto,35,9.53
2024-02-02,Friday,21:35,Creme Brulee,15,4.03
2024-09-27,Friday,21:26,Lobster Thermidor,55,10.93
2024-11-14,Thursday,21:51,Chocolate Souffle,20,4.67
2024-01-21,Sunday,18:39,Foie Gras,50,14.76
2024-04-03,Wednesday,20:48,Filet Mignon,45,7.63
2024-10-20,Sunday,18:03,Chocolate Souffle,20,3.85
2024-04-14,Sunday,21:10,Salmon en Papillote,30,6.62
2024-02-27,Tuesday,17:22,Chocolate Souffle,20,5.76
2024-07-08,Monday,20:59,Chocolate Souffle,20,5.93
2024-04-14,Sunday,17:36,Filet Mignon,45,7.43
2024-05-12,Sunday,18:46,Salmon en Papillote,30,4.04
2024-02-03,Saturday,19:15,Chocolate Souffle,20,3.17
2024-09-23,Monday,21:44,Chocolate Souffle,20,3.51
2024-06-09,Sunday,18:58,Lobster Thermidor,55,12.01
2024-02-02,Friday,21:29,Foie Gras,50,8.64
2024-10-17,Thursday,19:45,Truffle Risotto,35,9.47
2024-04-17,Wednesday,18:20,Chocolate Souffle,20,4.16
2024-12-25,Wednesday,21:28,Foie Gras,50,11.26
2024-06-28,Friday,21:45,Chocolate Souffle,20,5.11
2024-10-24,Thursday,21:18,Duck Confit,40,8.45
2024-09-27,Friday,19:10,Truffle Risotto,35,8.93
2024-10-05,Saturday,19:49,Foie Gras,50,11.86
2024-03-25,Monday,20:08,Salmon en Papillote,30,8.07
2024-08-17,Saturday,19:56,Filet Mignon,45,7.22
2024-08-12,Monday,20:09,Foie Gras,50,11.79
2024-01-12,Friday,18:48,Chocolate Souffle,20,4.9
2024-08-24,Saturday,18:01,Foie Gras,50,11.61
2024-06-01,Saturday,18:31,Filet Mignon,45,7.82
2024-12-03,Tuesday,19:57,Duck Confit,40,11.79
2024-04-04,Thursday,20:19,Chocolate Souffle,20,3.08
2024-10-19,Saturday,20:44,Duck Confit,40,8.54
2024-12-06,Friday,18:09,Lobster Thermidor,55,15.68
2024-06-18,Tuesday,18:07,Lobster Thermidor,55,6.72
2024-08-14,Wednesday,17:21,Salmon en Papillote,30,7.61
2024-07-22,Monday,21:47,Filet Mignon,45,13.38
2024-11-02,Saturday,21:09,Salmon en Papillote,30,4.52
2024-02-08,Thursday,18:29,Truffle Risotto,35,5.7
2024-01-24,Wednesday,18:38,Creme Brulee,15,4.47
2024-02-06,Tuesday,17:17,Foie Gras,50,11.5
2024-09-11,Wednesday,19:53,Foie Gras,50,6.16
2024-06-19,Wednesday,17:04,Creme Brulee,15,4.15
2024-08-03,Saturday,18:49,Duck Confit,40,4.8
2024-04-08,Monday,19:44,Truffle Risotto,35,3.65
2024-02-26,Monday,21:14,Foie Gras,50,10.8
2024-02-20,Tuesday,21:54,Foie Gras,50,13.07
2024-04-16,Tuesday,18:42,Duck Confit,40,10.55
2024-01-27,Saturday,19:07,Creme Brulee,15,2.25
2024-07-18,Thursday,18:56,Chocolate Souffle,20,3.57
2024-05-07,Tuesday,19:40,Salmon en Papillote,30,5.94
2024-10-14,Monday,18:15,Filet Mignon,45,6.49
2024-10-23,Wednesday,19:57,Chocolate Souffle,20,2.07
2024-06-21,Friday,18:36,Chocolate Souffle,20,2.13
2024-01-02,Tuesday,17:36,Duck Confit,40,10.14
2024-11-06,Wednesday,17:46,Duck Confit,40,11.63
2024-05-14,Tuesday,18:06,Creme Brulee,15,4.0
2024-01-16,Tuesday,18:56,Lobster Thermidor,55,8.94
2024-10-14,Monday,20:08,Creme Brulee,15,3.54
2024-01-22,Monday,17:34,Duck Confit,40,9.13
2024-10-24,Thursday,19:01,Filet Mignon,45,7.58
2024-06-17,Monday,18:27,Truffle Risotto,35,7.22
2024-06-24,Monday,20:30,Creme Brulee,15,2.46
2024-09-28,Saturday,17:25,Duck Confit,40,6.61
2024-09-27,Friday,19:21,Foie Gras,50,9.52
2024-11-08,Friday,17:10,Chocolate Souffle,20,5.46
2024-01-11,Thursday,17:56,Lobster Thermidor,55,9.25
2024-01-02,Tuesday,21:19,Salmon en Papillote,30,6.73
2024-09-15,Sunday,20:29,Chocolate Souffle,20,2.04
2024-07-14,Sunday,18:39,Filet Mignon,45,7.18
2024-02-02,Friday,17:07,Salmon en Papillote,30,4.48
2024-05-14,Tuesday,18:53,Chocolate Souffle,20,5.07
2024-06-16,Sunday,19:35,Salmon en Papillote,30,6.65
2024-10-11,Friday,20:55,Creme Brulee,15,3.39
2024-12-23,Monday,17:55,Creme Brulee,15,3.96
2024-08-24,Saturday,21:50,Salmon en Papillote,30,5.06
2024-05-27,Monday,19:10,Chocolate Souffle,20,5.12
2024-12-23,Monday,21:46,Creme Brulee,15,4.0
2024-01-04,Thursday,19:37,Lobster Thermidor,55,12.01
2024-09-27,Friday,19:47,Creme Brulee,15,3.26
2024-09-06,Friday,18:36,Foie Gras,50,6.45
2024-04-27,Saturday,17:09,Truffle Risotto,35,4.26
2024-03-21,Thursday,20:36,Duck Confit,40,10.42
2024-12-04,Wednesday,17:40,Truffle Risotto,35,6.86
2024-08-23,Friday,18:34,Foie Gras,50,14.52
2024-08-11,Sunday,19:21,Chocolate Souffle,20,2.81
2024-06-24,Monday,19:17,Salmon en Papillote,30,6.92
2024-01-20,Saturday,20:02,Truffle Risotto,35,4.62
2024-08-07,Wednesday,21:04,Lobster Thermidor,55,6.83
2024-11-27,Wednesday,17:48,Lobster Thermidor,55,14.8
2024-07-10,Wednesday,18:20,Lobster Thermidor,55,14.45
2024-09-11,Wednesday,21:55,Lobster Thermidor,55,16.26
2024-03-01,Friday,20:48,Truffle Risotto,35,5.54
2024-06-05,Wednesday,17:25,Creme Brulee,15,4.05
2024-09-21,Saturday,21:04,Chocolate Souffle,20,5.42
2024-07-15,Monday,20:33,Salmon en Papillote,30,3.48
2024-09-28,Saturday,21:18,Truffle Risotto,35,3.55
2024-06-04,Tuesday,19:27,Filet Mignon,45,7.9
2024-09-04,Wednesday,17:32,Creme Brulee,15,2.11
2024-01-22,Monday,20:04,Foie Gras,50,14.6
2024-04-06,Saturday,19:35,Salmon en Papillote,30,4.87
2024-10-17,Thursday,21:07,Salmon en Papillote,30,7.85
2024-10-26,Saturday,21:36,Creme Brulee,15,4.3
2024-04-12,Friday,18:45,Lobster Thermidor,55,13.93
2024-08-23,Friday,20:39,Truffle Risotto,35,7.52
2024-05-03,Friday,18:28,Duck Confit,40,7.44
2024-04-18,Thursday,19:04,Foie Gras,50,11.8
2024-08-12,Monday,21:46,Filet Mignon,45,10.83
2024-03-27,Wednesday,20:22,Foie Gras,50,9.47
2024-11-20,Wednesday,20:12,Truffle Risotto,35,10.38
2024-07-27,Saturday,17:12,Truffle Risotto,35,3.6
2024-01-23,Tuesday,18:27,Filet Mignon,45,11.53
2024-10-20,Sunday,17:40,Creme Brulee,15,3.73
2024-12-15,Sunday,21:39,Filet Mignon,45,9.37
2024-09-26,Thursday,18:24,Salmon en Papillote,30,7.35
2024-11-20,Wednesday,17:28,Lobster Thermidor,55,11.11
2024-10-09,Wednesday,21:34,Chocolate Souffle,20,2.33
2024-01-25,Thursday,18:29,Creme Brulee,15,4.47
2024-09-22,Sunday,20:26,Duck Confit,40,10.15
2024-03-06,Wednesday,18:21,Foie Gras,50,14.56
2024-12-03,Tuesday,20:32,Lobster Thermidor,55,14.44
2024-10-25,Friday,19:07,Truffle Risotto,35,7.56
2024-06-21,Friday,17:23,Filet Mignon,45,4.77
2024-05-23,Thursday,18:05,Creme Brulee,15,4.46
2024-02-11,Sunday,21:46,Lobster Thermidor,55,7.85
2024-12-28,Saturday,17:01,Foie Gras,50,6.27
2024-11-21,Thursday,21:29,Truffle Risotto,35,5.74
2024-02-10,Saturday,21:46,Duck Confit,40,6.05
2024-10-20,Sunday,17:16,Foie Gras,50,14.85
2024-06-14,Friday,17:43,Salmon en Papillote,30,5.93
2024-03-04,Monday,21:51,Salmon en Papillote,30,6.6
2024-11-16,Saturday,17:02,Filet Mignon,45,12.19
2024-05-20,Monday,21:11,Creme Brulee,15,2.66
2024-09-26,Thursday,19:40,Duck Confit,40,6.24
2024-11-02,Saturday,19:03,Filet Mignon,45,6.43
2024-04-14,Sunday,20:13,Creme Brulee,15,2.12
2024-09-22,Sunday,18:29,Duck Confit,40,6.48
2024-01-19,Friday,19:10,Duck Confit,40,5.17
2024-02-02,Friday,18:41,Foie Gras,50,9.79
2024-05-18,Saturday,17:33,Truffle Risotto,35,4.18
2024-08-23,Friday,21:16,Creme Brulee,15,1.84
2024-01-16,Tuesday,18:30,Lobster Thermidor,55,6.79
2024-05-15,Wednesday,17:37,Chocolate Souffle,20,5.8
2024-06-05,Wednesday,19:24,Foie Gras,50,8.45
2024-10-13,Sunday,17:24,Chocolate Souffle,20,3.11
2024-07-04,Thursday,17:36,Salmon en Papillote,30,3.59
2024-12-17,Tuesday,20:11,Creme Brulee,15,2.48
2024-02-02,Friday,19:24,Lobster Thermidor,55,11.23
2024-11-04,Monday,19:59,Chocolate Souffle,20,5.67
2024-05-02,Thursday,17:09,Truffle Risotto,35,6.86
2024-05-13,Monday,17:57,Filet Mignon,45,6.23
2024-10-08,Tuesday,20:32,Foie Gras,50,6.98
2024-07-24,Wednesday,19:42,Truffle Risotto,35,8.48
2024-03-12,Tuesday,19:18,Creme Brulee,15,1.71
2024-02-24,Saturday,21:12,Salmon en Papillote,30,3.99
2024-07-10,Wednesday,17:15,Duck Confit,40,6.08
2024-04-19,Friday,17:25,Foie Gras,50,6.69
2024-03-26,Tuesday,19:53,Chocolate Souffle,20,2.33
2024-07-28,Sunday,20:16,Foie Gras,50,10.31
2024-05-17,Friday,21:00,Creme Brulee,15,3.24
2024-09-14,Saturday,21:05,Truffle Risotto,35,4.34
2024-03-22,Friday,19:22,Salmon en Papillote,30,4.95
2024-07-14,Sunday,17:27,Filet Mignon,45,7.81
2024-09-03,Tuesday,18:10,Salmon en Papillote,30,4.28
2024-09-04,Wednesday,21:58,Truffle Risotto,35,4.59
2024-09-01,Sunday,20:27,Foie Gras,50,5.7
2024-06-25,Tuesday,18:44,Duck Confit,40,4.55
2024-01-08,Monday,20:31,Truffle Risotto,35,6.58
2024-05-05,Sunday,21:00,Foie Gras,50,12.04
2024-03-02,Saturday,17:54,Foie Gras,50,7.59
2024-07-07,Sunday,18:14,Filet Mignon,45,8.16
2024-07-17,Wednesday,18:46,Duck Confit,40,8.82
2024-03-17,Sunday,21:48,Lobster Thermidor,55,6.98
2024-01-28,Sunday,21:54,Duck Confit,40,8.33
2024-03-10,Sunday,21:57,Creme Brulee,15,1.85
2024-01-08,Monday,19:49,Creme Brulee,15,2.86
2024-12-04,Wednesday,19:41,Lobster Thermidor,55,9.02
2024-10-15,Tuesday,17:17,Creme Brulee,15,2.67
2024-11-22,Friday,21:15,Truffle Risotto,35,9.33
2024-05-27,Monday,20:47,Lobster Thermidor,55,9.81
2024-12-19,Thursday,18:12,Chocolate Souffle,20,4.71
2024-08-13,Tuesday,20:12,Filet Mignon,45,8.62
2024-07-18,Thursday,18:48,Duck Confit,40,7.11
2024-10-07,Monday,19:29,Duck Confit,40,4.91
2024-04-13,Saturday,21:07,Chocolate Souffle,20,2.05
2024-11-09,Saturday,21:41,Creme Brulee,15,3.87
2024-11-13,Wednesday,17:53,Filet Mignon,45,11.96
2024-04-04,Thursday,19:14,Truffle Risotto,35,8.53
2024-08-13,Tuesday,20:14,Creme Brulee,15,4.22
2024-01-13,Saturday,19:23,Duck Confit,40,11.21
2024-01-19,Friday,19:00,Chocolate Souffle,20,5.57
2024-08-23,Friday,17:54,Filet Mignon,45,4.7
2024-11-01,Friday,20:42,Filet Mignon,45,6.99
2024-03-17,Sunday,20:35,Filet Mignon,45,9.33
2024-09-15,Sunday,19:36,Duck Confit,40,7.31
2024-09-13,Friday,18:16,Chocolate Souffle,20,4.31
2024-08-16,Friday,20:22,Duck Confit,40,11.68
2024-10-01,Tuesday,21:52,Duck Confit,40,7.74
2024-03-02,Saturday,20:14,Creme Brulee,15,2.06
2024-12-22,Sunday,21:53,Truffle Risotto,35,7.65
2024-02-02,Friday,19:22,Truffle Risotto,35,8.99
2024-03-01,Friday,20:30,Truffle Risotto,35,6.73
2024-11-23,Saturday,21:25,Duck Confit,40,10.48
2024-01-28,Sunday,19:21,Creme Brulee,15,2.77
2024-08-22,Thursday,17:36,Chocolate Souffle,20,5.89
2024-03-16,Saturday,18:51,Salmon en Papillote,30,8.59
2024-05-06,Monday,19:24,Foie Gras,50,10.73
2024-09-13,Friday,19:46,Truffle Risotto,35,8.04
2024-07-03,Wednesday,17:22,Duck Confit,40,7.76
2024-01-11,Thursday,18:13,Filet Mignon,45,5.68
2024-11-25,Monday,20:38,Chocolate Souffle,20,5.31
2024-12-26,Thursday,17:17,Creme Brulee,15,3.38
2024-06-11,Tuesday,18:10,Chocolate Souffle,20,3.16
2024-04-28,Sunday,19:11,Lobster Thermidor,55,14.98
2024-01-15,Monday,17:52,Creme Brulee,15,1.86
2024-02-24,Saturday,18:54,Truffle Risotto,35,5.77
2024-07-08,Monday,18:36,Chocolate Souffle,20,3.7
2024-05-19,Sunday,20:10,Filet Mignon,45,7.41
2024-05-08,Wednesday,20:12,Salmon en Papillote,30,5.21
2024-01-24,Wednesday,20:48,Lobster Thermidor,55,14.17
2024-06-14,Friday,21:48,Creme Brulee,15,4.33
2024-12-17,Tuesday,20:30,Lobster Thermidor,55,6.58
2024-10-25,Friday,17:14,Truffle Risotto,35,4.22
2024-12-27,Friday,17:36,Foie Gras,50,13.93
2024-03-02,Saturday,21:36,Filet Mignon,45,9.31
2024-09-08,Sunday,21:27,Foie Gras,50,6.25
2024-01-17,Wednesday,19:21,Lobster Thermidor,55,12.64
2024-05-18,Saturday,21:34,Creme Brulee,15,3.64
2024-12-21,Saturday,19:03,Chocolate Souffle,20,5.83
2024-03-05,Tuesday,17:31,Duck Confit,40,4.25
2024-12-04,Wednesday,19:48,Salmon en Papillote,30,8.65
2024-06-12,Wednesday,21:47,Duck Confit,40,6.36
2024-11-15,Friday,19:15,Duck Confit,40,9.26
2024-02-10,Saturday,20:53,Filet Mignon,45,9.39
2024-11-07,Thursday,17:18,Chocolate Souffle,20,5.13
2024-06-05,Wednesday,19:55,Foie Gras,50,13.93
2024-06-19,Wednesday,17:53,Truffle Risotto,35,6.36
2024-03-03,Sunday,17:14,Salmon en Papillote,30,5.79
2024-05-16,Thursday,17:23,Foie Gras,50,10.89
2024-08-25,Sunday,20:58,Chocolate Souffle,20,2.87
2024-01-22,Monday,19:48,Filet Mignon,45,10.19
2024-03-16,Saturday,19:03,Chocolate Souffle,20,5.31
2024-12-28,Saturday,17:01,Creme Brulee,15,3.54
2024-04-06,Saturday,21:37,Foie Gras,50,10.83
2024-04-19,Friday,17:37,Chocolate Souffle,20,3.6
2024-06-10,Monday,17:43,Creme Brulee,15,2.21
2024-09-18,Wednesday,19:19,Foie Gras,50,9.9
2024-08-06,Tuesday,18:46,Salmon en Papillote,30,3.16
2024-09-24,Tuesday,17:27,Chocolate Souffle,20,3.79
2024-09-07,Saturday,21:29,Duck Confit,40,11.14
2024-01-21,Sunday,19:24,Creme Brulee,15,3.34
2024-01-27,Saturday,17:55,Foie Gras,50,8.72
2024-09-23,Monday,18:26,Creme Brulee,15,3.18
2024-11-11,Monday,20:47,Truffle Risotto,35,9.07
2024-08-06,Tuesday,21:38,Filet Mignon,45,6.58
2024-08-11,Sunday,20:37,Chocolate Souffle,20,3.87
2024-04-14,Sunday,18:39,Duck Confit,40,10.87
2024-08-04,Sunday,18:01,Foie Gras,50,8.23
2024-06-06,Thursday,18:16,Lobster Thermidor,55,11.24
2024-05-09,Thursday,19:38,Lobster Thermidor,55,15.6
2024-06-26,Wednesday,17:52,Duck Confit,40,7.6
2024-06-07,Friday,20:17,Salmon en Papillote,30,6.81
2024-10-23,Wednesday,19:57,Filet Mignon,45,7.72
2024-03-23,Saturday,17:47,Chocolate Souffle,20,5.21
2024-01-18,Thursday,19:39,Salmon en Papillote,30,4.59
2024-11-17,Sunday,21:59,Truffle Risotto,35,4.46
2024-01-18,Thursday,19:18,Filet Mignon,45,7.48
