Date,Time,Day of Week,Item,Price,Tip,Cost,Server
2024-03-28,17:14,Thursday,Tacos,33.41,8.32,12.06,David
2024-03-22,12:52,Friday,Steak,20.65,3.68,6.06,Alice
2024-03-09,11:3,Saturday,Pizza,13.45,2.34,4.37,Jack
2024-03-15,20:9,Friday,Salad,13.12,2.17,7.6,Jack
2024-03-19,15:40,Tuesday,Sushi,47.17,10.49,11.4,Bob
2024-03-03,14:8,Sunday,Pasta,49.47,11.07,6.56,Jack
2024-03-14,15:45,Thursday,Pizza,22.82,5.49,5.66,Frank
2024-03-23,11:24,Saturday,Soup,28.39,6.63,13.81,Alice
2024-03-20,11:51,Wednesday,Steak,42.35,8.16,8.74,Jack
2024-03-27,13:45,Wednesday,Sandwich,42.61,10.12,13.02,Bob
2024-03-05,12:53,Tuesday,Soup,32.34,6.32,3.66,Frank
2024-03-02,18:21,Saturday,Soup,20.3,3.17,3.33,Emma
2024-03-22,18:17,Friday,Pizza,14.48,2.39,7.2,Bob
2024-03-18,20:41,Monday,Ramen,24.35,4.09,7.84,Grace
2024-03-05,12:13,Tuesday,Pasta,30.32,5.73,3.72,David
2024-03-25,18:46,Monday,Burger,45.81,7.32,13.92,Alice
2024-03-05,15:3,Tuesday,Ramen,37.92,7.57,10.27,Ivy
2024-03-29,11:2,Friday,Steak,41.94,9.97,7.07,Ivy
2024-03-10,13:34,Sunday,Steak,46.07,10.91,6.7,Emma
2024-03-25,18:44,Monday,Pizza,16.17,3.69,3.62,Grace
2024-03-18,18:34,Monday,Soup,10.3,1.89,9.43,Ivy
2024-03-16,18:49,Saturday,Tacos,36.23,8.85,4.41,Jack
2024-03-14,12:30,Thursday,Sandwich,13.62,2.3,4.98,Jack
2024-03-16,16:18,Saturday,Ramen,12.74,2.45,7.77,Charlie
2024-03-20,14:18,Wednesday,Salad,47.72,11.36,12.18,Alice
2024-03-31,15:56,Sunday,Pizza,13.52,3.17,5.6,Ivy
2024-03-20,15:54,Wednesday,Sandwich,44.19,9.81,6.93,Grace
2024-03-02,17:51,Saturday,Burger,36.8,9.0,6.17,Jack
2024-03-23,19:19,Saturday,Steak,10.34,2.56,14.43,Alice
2024-03-11,20:32,Monday,Tacos,10.87,1.76,6.13,Alice
2024-03-29,12:19,Friday,Steak,47.07,11.02,3.11,Frank
2024-03-29,13:3,Friday,Sandwich,28.93,4.76,12.5,Jack
2024-03-19,18:8,Tuesday,Ramen,32.15,6.44,5.29,Jack
2024-03-11,21:59,Monday,Pizza,31.24,6.76,12.49,Emma
2024-03-17,14:45,Sunday,Burger,49.83,10.78,6.05,Henry
2024-03-03,15:36,Sunday,Ramen,14.46,3.6,14.76,David
2024-03-02,16:7,Saturday,Pizza,16.42,3.99,13.64,Bob
2024-03-17,21:59,Sunday,Burger,23.44,5.63,7.31,Ivy
2024-03-07,16:5,Thursday,Steak,33.39,5.07,5.39,Frank
2024-03-18,12:26,Monday,Tacos,27.06,4.47,10.23,Ivy
2024-03-23,20:45,Saturday,Soup,19.74,4.79,9.71,Emma
2024-03-10,17:58,Sunday,Steak,13.67,3.14,8.23,David
2024-03-30,13:38,Saturday,Ramen,45.71,10.03,6.52,Jack
2024-03-23,15:16,Saturday,Sushi,42.84,8.97,4.36,Henry
2024-03-18,20:33,Monday,Steak,41.2,6.53,10.19,David
2024-03-27,11:58,Wednesday,Pasta,33.63,6.53,3.32,David
2024-03-24,18:24,Sunday,Salad,34.6,5.54,4.81,Bob
2024-03-15,16:25,Friday,Sushi,24.28,5.77,12.03,Ivy
2024-03-24,21:40,Sunday,Salad,37.41,9.32,14.26,David
2024-03-19,13:6,Tuesday,Ramen,32.18,7.46,10.31,Henry
2024-03-13,14:45,Wednesday,Sandwich,40.31,9.12,10.62,David
2024-03-04,18:54,Monday,Ramen,34.11,8.4,10.01,Bob
2024-03-28,21:15,Thursday,Burger,31.74,6.61,4.03,Alice
2024-03-17,21:57,Sunday,Ramen,44.68,7.35,14.98,Henry
2024-03-13,14:58,Wednesday,Soup,15.02,3.16,7.29,Bob
2024-03-03,15:22,Sunday,Tacos,17.24,3.73,9.8,Jack
2024-03-05,13:28,Tuesday,Sandwich,46.74,11.55,10.16,Henry
2024-03-12,11:8,Tuesday,Ramen,18.29,3.7,10.72,Henry
2024-03-24,19:5,Sunday,Soup,30.86,5.45,9.94,Ivy
2024-03-24,13:43,Sunday,Tacos,20.76,4.07,7.9,Bob
2024-03-06,15:30,Wednesday,Soup,40.45,6.22,8.64,Ivy
2024-03-13,16:47,Wednesday,Pizza,18.61,3.53,3.47,Frank
2024-03-15,15:32,Friday,Burger,14.62,3.05,9.65,Charlie
2024-03-29,13:37,Friday,Sushi,42.11,7.87,4.94,Frank
2024-03-26,13:16,Tuesday,Ramen,26.09,5.98,13.63,Frank
2024-03-05,15:10,Tuesday,Soup,13.02,2.42,14.6,Bob
2024-03-27,16:4,Wednesday,Pasta,20.52,3.1,12.09,Ivy
2024-03-18,18:8,Monday,Sandwich,34.94,7.31,12.56,Bob
2024-03-28,19:33,Thursday,Burger,20.91,3.65,11.54,Grace
2024-03-04,13:54,Monday,Tacos,22.88,3.56,6.02,Charlie
2024-03-28,15:32,Thursday,Pizza,48.11,8.06,14.59,Henry
2024-03-10,17:17,Sunday,Burger,12.42,2.1,8.78,Grace
2024-03-04,15:37,Monday,Pasta,47.53,11.24,13.79,Grace
2024-03-20,19:27,Wednesday,Ramen,39.82,8.38,14.23,David
2024-03-18,21:29,Monday,Ramen,48.5,11.9,7.14,Ivy
2024-03-06,11:29,Wednesday,Ramen,35.56,6.55,9.88,Henry
2024-03-23,18:8,Saturday,Burger,35.43,8.55,8.1,Ivy
2024-03-13,15:45,Wednesday,Pizza,11.85,2.09,13.15,Grace
2024-03-24,20:10,Sunday,Steak,31.38,5.99,9.32,Charlie
2024-03-16,13:50,Saturday,Burger,39.41,7.58,3.4,Emma
2024-03-19,19:19,Tuesday,Pasta,47.27,9.91,14.34,Emma
2024-03-31,19:35,Sunday,Sandwich,28.28,5.14,8.16,Grace
2024-03-06,16:41,Wednesday,Ramen,42.63,8.39,13.89,Frank
2024-03-09,21:28,Saturday,Sandwich,26.88,4.08,3.4,Alice
2024-03-24,17:51,Sunday,Soup,39.2,6.04,6.06,Grace
2024-03-20,15:56,Wednesday,Burger,31.53,5.01,10.47,Ivy
2024-03-26,14:28,Tuesday,Tacos,16.08,3.52,10.67,Grace
2024-03-20,13:53,Wednesday,Tacos,32.33,5.18,14.06,Grace
2024-03-04,21:52,Monday,Tacos,13.32,2.59,6.76,Ivy
2024-03-06,18:3,Wednesday,Tacos,43.61,8.5,14.72,Alice
2024-03-12,21:34,Tuesday,Ramen,41.28,8.46,5.17,Charlie
2024-03-13,21:14,Wednesday,Burger,48.87,8.5,11.03,Grace
2024-03-20,12:3,Wednesday,Soup,33.66,5.75,12.98,Grace
2024-03-08,15:10,Friday,Salad,18.45,3.71,12.3,Bob
2024-03-23,17:33,Saturday,Tacos,42.62,8.88,3.01,Henry
2024-03-10,19:38,Sunday,Sandwich,21.16,4.03,4.24,Grace
2024-03-27,21:15,Wednesday,Soup,16.3,3.36,11.53,Alice
2024-03-19,14:11,Tuesday,Sandwich,35.92,8.39,6.78,Alice
2024-03-05,18:18,Tuesday,Ramen,25.4,4.72,13.33,Jack
2024-03-22,12:5,Friday,Steak,27.24,6.0,10.67,Grace
2024-03-07,14:11,Thursday,Burger,36.34,7.95,5.08,Ivy
2024-03-15,16:44,Friday,Sushi,37.7,6.65,8.12,Charlie
2024-03-07,14:0,Thursday,Soup,22.42,5.34,13.0,Emma
2024-03-29,14:55,Friday,Pizza,22.23,4.3,12.04,Charlie
2024-03-24,18:30,Sunday,Sushi,31.27,5.16,5.95,Jack
2024-03-19,20:25,Tuesday,Tacos,17.0,3.58,6.75,Jack
2024-03-16,17:58,Saturday,Sandwich,42.24,8.22,13.13,Emma
2024-03-18,20:58,Monday,Sushi,15.84,3.05,13.15,Bob
2024-03-04,21:46,Monday,Ramen,48.59,9.46,6.79,David
2024-03-08,11:28,Friday,Pizza,38.13,9.18,11.69,Henry
2024-03-27,15:19,Wednesday,Steak,46.57,7.98,9.47,Jack
2024-03-04,13:59,Monday,Tacos,48.95,7.98,4.37,Bob
2024-03-30,12:52,Saturday,Pasta,26.71,5.72,7.46,Henry
2024-03-17,12:22,Sunday,Tacos,40.51,7.37,13.89,Frank
2024-03-10,20:21,Sunday,Pizza,23.61,5.46,4.28,Frank
2024-03-28,12:1,Thursday,Sushi,49.77,11.67,8.27,Grace
2024-03-27,17:22,Wednesday,Sushi,18.72,4.39,3.9,David
2024-03-06,20:56,Wednesday,Pizza,35.21,7.81,12.41,David
2024-03-08,14:25,Friday,Soup,47.66,10.95,11.25,Charlie
2024-03-01,12:59,Friday,Steak,35.83,5.87,4.76,Ivy
2024-03-17,18:3,Sunday,Sandwich,25.74,6.38,7.96,Ivy
2024-03-31,21:51,Sunday,Soup,15.16,3.26,11.89,Grace
2024-03-09,16:2,Saturday,Tacos,36.15,5.42,7.41,Ivy
2024-03-07,18:32,Thursday,Sandwich,45.49,10.77,14.82,Grace
2024-03-17,21:28,Sunday,Pasta,29.4,6.11,8.55,Ivy
2024-03-30,15:10,Saturday,Sandwich,26.4,5.51,3.5,Charlie
2024-03-01,11:35,Friday,Ramen,34.59,7.23,13.15,Henry
2024-03-10,13:50,Sunday,Sandwich,40.76,7.64,12.25,Emma
2024-03-19,19:30,Tuesday,Sushi,45.9,8.69,6.55,Grace
2024-03-20,19:19,Wednesday,Salad,13.7,2.68,13.06,Charlie
2024-03-08,12:1,Friday,Soup,38.25,7.41,11.19,Alice
2024-03-18,18:20,Monday,Soup,25.19,4.93,5.65,Bob
2024-03-18,15:34,Monday,Sandwich,13.37,2.52,5.79,David
2024-03-22,20:7,Friday,Soup,49.25,8.83,14.47,Bob
2024-03-24,14:30,Sunday,Ramen,37.25,5.78,9.21,Charlie
2024-03-28,17:50,Thursday,Sandwich,41.35,7.18,5.7,Grace
2024-03-31,15:6,Sunday,Tacos,38.01,6.15,12.05,David
2024-03-17,20:56,Sunday,Sushi,46.09,11.4,11.71,Grace
2024-03-09,15:24,Saturday,Soup,32.25,7.98,4.01,Charlie
2024-03-29,19:14,Friday,Salad,39.38,8.81,4.48,Emma
2024-03-25,20:31,Monday,Pasta,35.98,5.63,7.24,Ivy
2024-03-19,20:9,Tuesday,Steak,41.51,6.69,12.71,Jack
2024-03-16,18:42,Saturday,Salad,19.08,2.94,6.5,Alice
2024-03-16,17:11,Saturday,Tacos,40.78,8.94,4.09,Ivy
2024-03-07,21:15,Thursday,Salad,35.62,5.55,4.15,Charlie
2024-03-23,17:56,Saturday,Steak,17.42,4.35,12.6,Bob
2024-03-03,17:27,Sunday,Ramen,34.3,7.18,14.31,Bob
2024-03-26,17:9,Tuesday,Soup,12.42,3.06,13.34,Frank
2024-03-05,20:28,Tuesday,Soup,34.88,8.62,7.03,Emma
2024-03-15,15:52,Friday,Steak,39.29,6.27,8.57,Bob
2024-03-29,11:45,Friday,Sandwich,12.65,2.61,8.22,David
2024-03-16,18:21,Saturday,Ramen,24.35,5.73,4.75,Bob
2024-03-08,17:38,Friday,Sushi,30.38,7.4,5.33,Emma
2024-03-22,12:37,Friday,Pasta,45.7,10.03,9.54,Alice
2024-03-28,21:33,Thursday,Sushi,29.61,5.42,8.76,Emma
2024-03-27,19:41,Wednesday,Tacos,15.17,2.36,14.09,Bob
2024-03-16,19:15,Saturday,Sushi,35.92,7.67,9.85,Grace
2024-03-11,11:55,Monday,Burger,46.17,8.08,3.03,David
2024-03-13,15:18,Wednesday,Pasta,47.63,9.8,4.4,Henry
2024-03-19,17:43,Tuesday,Soup,23.76,3.63,8.64,Emma
2024-03-04,17:50,Monday,Sushi,18.77,3.87,5.45,Charlie
2024-03-14,18:43,Thursday,Soup,49.68,11.07,7.12,Grace
2024-03-08,21:6,Friday,Sushi,42.69,10.11,9.63,Jack
2024-03-10,20:32,Sunday,Pasta,27.14,5.7,12.78,David
2024-03-07,21:58,Thursday,Sushi,31.97,5.93,12.29,Ivy
2024-03-30,15:4,Saturday,Salad,40.96,9.73,3.47,Henry
2024-03-19,20:9,Tuesday,Salad,39.24,8.59,5.85,Jack
2024-03-08,18:4,Friday,Burger,45.63,7.18,9.46,Emma
2024-03-08,17:19,Friday,Steak,26.02,5.09,9.06,Emma
2024-03-14,13:18,Thursday,Salad,42.4,7.54,4.35,Charlie
2024-03-30,21:34,Saturday,Ramen,42.4,9.58,12.05,Bob
2024-03-14,20:33,Thursday,Sushi,24.53,5.66,6.36,Henry
2024-03-21,21:28,Thursday,Tacos,44.25,6.99,4.33,Alice
2024-03-25,18:13,Monday,Soup,36.28,8.08,6.85,Alice
2024-03-26,11:17,Tuesday,Tacos,31.36,5.74,12.72,Bob
2024-03-04,19:29,Monday,Pizza,17.17,4.23,8.18,David
2024-03-16,20:56,Saturday,Tacos,28.81,6.84,8.63,Charlie
2024-03-12,14:6,Tuesday,Pasta,45.49,9.66,3.86,Jack
2024-03-23,15:29,Saturday,Soup,29.57,5.38,7.96,David
2024-03-27,20:24,Wednesday,Sandwich,15.33,3.34,6.3,David
2024-03-20,15:46,Wednesday,Sushi,33.66,8.32,9.73,Alice
2024-03-15,14:0,Friday,Salad,25.83,5.04,5.91,Grace
2024-03-14,19:23,Thursday,Salad,48.18,7.8,11.93,Ivy
2024-03-26,18:25,Tuesday,Soup,24.24,3.95,6.81,Henry
2024-03-03,14:52,Sunday,Tacos,29.16,4.71,10.38,Grace
2024-03-11,12:16,Monday,Burger,23.73,5.46,10.3,Jack
2024-03-08,13:11,Friday,Pizza,22.77,5.05,14.47,Bob
2024-03-01,12:59,Friday,Pasta,24.61,5.5,7.81,Frank
2024-03-22,20:21,Friday,Pasta,49.72,9.73,10.09,Ivy
2024-03-22,21:43,Friday,Steak,40.84,9.76,5.74,David
2024-03-18,11:28,Monday,Soup,10.09,1.66,10.51,Emma
2024-03-22,11:53,Friday,Soup,16.02,2.73,9.89,David
2024-03-03,16:18,Sunday,Steak,49.97,10.12,3.11,Alice
2024-03-16,15:38,Saturday,Tacos,35.66,7.02,5.62,Henry
2024-03-26,17:4,Tuesday,Sandwich,16.84,4.0,10.44,Emma
2024-03-02,19:42,Saturday,Ramen,34.14,8.01,8.05,Ivy
2024-03-18,11:52,Monday,Tacos,46.32,9.89,12.4,Alice
2024-03-13,14:13,Wednesday,Steak,38.22,7.05,4.61,Ivy
2024-03-31,14:44,Sunday,Salad,47.42,7.97,10.21,Charlie
2024-03-16,17:46,Saturday,Tacos,27.68,4.71,7.96,Alice
2024-03-27,19:36,Wednesday,Ramen,31.04,7.57,8.73,Bob
2024-03-27,13:17,Wednesday,Pasta,32.11,6.23,10.66,Jack
2024-03-19,11:20,Tuesday,Sandwich,17.59,3.53,3.34,David
2024-03-31,17:8,Sunday,Salad,45.66,10.89,9.82,Emma
2024-03-04,11:37,Monday,Tacos,17.24,3.42,8.75,Grace
2024-03-09,18:35,Saturday,Pasta,23.75,4.64,6.61,Henry
2024-03-10,11:17,Sunday,Burger,26.76,6.05,3.31,Charlie
2024-03-03,13:23,Sunday,Sushi,46.54,10.23,14.69,Emma
2024-03-03,13:39,Sunday,Ramen,49.76,7.55,4.1,David
2024-03-06,16:12,Wednesday,Salad,46.75,9.93,10.73,Ivy
2024-03-18,12:9,Monday,Tacos,26.14,6.22,8.17,Jack
2024-03-11,21:12,Monday,Salad,11.05,2.43,13.89,Emma
2024-03-12,13:57,Tuesday,Soup,11.13,2.52,5.75,Charlie
2024-03-13,19:39,Wednesday,Soup,19.22,3.48,9.77,Alice
2024-03-13,12:7,Wednesday,Salad,46.42,9.14,14.65,Ivy
2024-03-31,11:56,Sunday,Soup,34.93,5.93,13.8,Emma
2024-03-17,21:14,Sunday,Pizza,19.88,4.4,6.63,Charlie
2024-03-22,12:21,Friday,Pizza,10.34,1.58,10.02,Charlie
2024-03-16,19:7,Saturday,Burger,18.71,3.36,9.29,Bob
2024-03-15,12:45,Friday,Soup,18.91,3.18,4.11,Emma
2024-03-06,15:16,Wednesday,Sandwich,14.45,3.17,4.11,Charlie
2024-03-30,12:48,Saturday,Sushi,32.18,7.0,13.58,Alice
2024-03-05,17:33,Tuesday,Salad,15.89,2.44,10.94,Henry
2024-03-15,21:29,Friday,Pasta,20.59,4.38,14.22,Frank
2024-03-29,21:12,Friday,Steak,35.21,8.42,5.96,Bob
2024-03-31,14:32,Sunday,Ramen,27.76,6.79,5.63,Frank
2024-03-02,17:21,Saturday,Steak,31.23,6.53,6.72,Jack
2024-03-07,21:20,Thursday,Salad,41.98,9.74,11.07,Bob
2024-03-21,12:13,Thursday,Sushi,12.92,1.97,12.8,Bob
2024-03-30,21:34,Saturday,Ramen,30.65,6.78,3.86,Alice
2024-03-10,12:50,Sunday,Soup,36.55,6.05,11.19,Charlie
2024-03-02,20:33,Saturday,Sandwich,11.14,2.75,9.85,Jack
2024-03-06,13:12,Wednesday,Steak,30.9,5.34,9.11,Henry
2024-03-25,14:28,Monday,Pizza,47.65,11.15,14.45,Frank
2024-03-06,11:23,Wednesday,Steak,25.69,5.62,8.11,Alice
2024-03-23,13:9,Saturday,Salad,45.51,9.76,11.27,Bob
2024-03-11,19:10,Monday,Salad,18.48,4.1,8.06,David
2024-03-07,17:27,Thursday,Sandwich,27.05,5.76,10.4,Ivy
2024-03-06,17:27,Wednesday,Sushi,41.25,8.13,11.28,Charlie
2024-03-31,21:57,Sunday,Tacos,29.23,6.04,9.7,Charlie
2024-03-01,13:2,Friday,Sushi,46.44,10.85,13.06,David
2024-03-30,18:46,Saturday,Pizza,14.99,3.16,9.53,Frank
2024-03-03,12:38,Sunday,Tacos,43.98,10.8,6.33,Alice
2024-03-15,14:31,Friday,Burger,49.67,11.45,13.67,Henry
2024-03-03,18:11,Sunday,Tacos,40.36,8.56,6.8,Grace
2024-03-03,21:39,Sunday,Soup,47.91,9.06,5.53,David
2024-03-06,15:4,Wednesday,Soup,29.3,5.62,14.1,Emma
2024-03-18,14:36,Monday,Pasta,21.16,4.97,14.39,Henry
2024-03-14,20:25,Thursday,Steak,44.54,7.82,10.27,Alice
2024-03-03,15:46,Sunday,Ramen,49.59,10.69,10.46,David
2024-03-18,20:52,Monday,Steak,41.58,9.97,7.94,Grace
2024-03-29,19:11,Friday,Steak,47.42,7.26,10.77,Grace
2024-03-28,20:27,Thursday,Pasta,19.29,3.52,7.99,Charlie
2024-03-03,15:49,Sunday,Soup,11.29,2.51,5.62,Charlie
2024-03-27,18:45,Wednesday,Salad,25.26,5.66,4.26,Alice
2024-03-25,14:3,Monday,Pasta,39.44,7.39,9.28,Henry
2024-03-02,19:12,Saturday,Soup,49.64,10.94,13.84,Jack
2024-03-26,13:8,Tuesday,Burger,15.38,2.38,5.94,David
2024-03-19,19:46,Tuesday,Sandwich,26.67,6.44,6.47,Jack
2024-03-26,18:48,Tuesday,Sandwich,46.98,7.16,4.36,Emma
2024-03-06,16:34,Wednesday,Soup,30.36,5.52,9.86,Bob
2024-03-23,12:9,Saturday,Salad,12.7,2.09,6.4,Jack
2024-03-07,18:31,Thursday,Burger,11.01,2.61,7.39,Henry
2024-03-21,19:52,Thursday,Steak,31.11,7.42,13.61,Bob
2024-03-23,14:41,Saturday,Salad,10.51,1.66,9.8,Grace
2024-03-21,12:49,Thursday,Ramen,22.41,3.78,6.29,Emma
2024-03-23,21:47,Saturday,Tacos,10.93,1.92,9.22,Frank
2024-03-15,18:36,Friday,Steak,21.66,4.86,4.64,David
2024-03-07,14:18,Thursday,Burger,46.28,11.13,8.97,Alice
